gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt,self_intro
2.0,6.0,1.0,154.00000010430813,43.00000008195639,3.0,124.7238352894783,582.9999969899654,0.0,Beautiful
2.0,6.0,1.0,156.00000013411045,47.00000010430813,3.0,130.00000417232513,478.7173157930374,3.499999885261059,Enjoying being who I'm notsss
1.0,9.0,2.0,169.99999955296516,61.00000083446503,3.0,90.00000208616257,540.000008046627,3.530175943672657,Practice Makes perfect
1.0,9.0,1.0,169.99999955296516,62.00000077486038,4.0,100.00000149011612,478.7173157930374,5.000000144541263,Straightforward
2.0,9.0,2.0,158.00000016391277,67.00000047683716,3.0,127.99999713897705,320.0000164657831,1.2000000223517417,Humorous
2.0,7.0,2.0,170.5798519551754,64.42331224679947,3.0,100.00000149011612,902.999978363514,1.9999999344348909,I am cute
1.0,7.0,2.0,170.5798519551754,50.000000447034836,4.0,115.00000059604645,208.99999726563692,9.59000009894371,
2.0,3.0,2.0,169.99999955296516,57.00000002980232,4.0,100.00000149011612,1200.0000178813934,3.530175943672657,Um..Haha
2.0,9.0,2.0,167.99999952316284,64.42331224679947,2.0,124.7238352894783,579.999996945262,5.340000084042549,I am quite.
2.0,1.0,1.0,165.0000002682209,55.00000014901161,5.0,130.00000417232513,478.7173157930374,1.9999999344348909,Beautiful
2.0,7.0,2.0,163.9999994635582,64.42331224679947,3.0,180.0000011920929,300.00000447034836,0.9999999672174454,Beautiful and smart
2.0,6.0,2.0,167.99999952316284,55.00000014901161,2.0,124.7238352894783,300.00000447034836,3.530175943672657,Beautiful and smart
2.0,12.0,1.0,170.5798519551754,60.00000089406967,3.0,200.0,160.00000823289156,3.530175943672657,Brilliant
1.0,11.0,2.0,170.5798519551754,53.0000002682209,4.0,124.7238352894783,300.00000447034836,2.5000000722706317,Work hard play hard
2.0,3.0,1.0,163.00000023841858,52.000000327825546,5.0,97.9999989271164,478.7173157930374,1.9999999344348909,Q
2.0,7.0,1.0,154.00000010430813,43.00000008195639,3.0,124.7238352894783,582.9999969899654,0.0,Beautiful
2.0,6.0,1.0,156.00000013411045,47.00000010430813,3.0,130.00000417232513,399.99999426305294,3.499999885261059,Enjoying being who I'm not
1.0,9.0,2.0,169.99999955296516,61.00000083446503,3.0,90.00000208616257,540.000008046627,5.000000144541263,
1.0,9.0,1.0,169.99999955296516,62.00000077486038,4.0,100.00000149011612,172.99999672919512,5.000000144541263,Straightforward
2.0,7.0,2.0,158.00000016391277,67.00000047683716,3.0,127.99999713897705,320.0000164657831,1.2000000223517417,
2.0,10.0,2.0,170.5798519551754,50.000000447034836,3.0,124.7238352894783,902.999978363514,1.9999999344348909,I am cute
1.0,7.0,2.0,165.0000002682209,50.000000447034836,4.0,115.00000059604645,208.99999726563692,9.59000009894371,Homo sapiens
