height,weight,iq,fb_friends,yt,self_intro,gender
200.0,99.99999994039537,87.00000047683716,87.00000246556972,5.10079417408537,GOod,0.0
175.00000071525574,80.00000137090684,125.55021047592163,408.052803576472,5.10079417408537,Easygoing,0.0
155.00000035762787,45.000000171363354,150.00000298023224,408.052803576472,8.999999989187804,,0.0
172.99999928474426,85.00000101327898,125.55021047592163,408.052803576472,4.352652548417946,,0.0
164.00000059604645,57.00000047683716,130.00000417232513,504.99997469810216,2.0000000191211886,I'm smart,0.0
177.99999976158142,87.99999910593034,80.00000044703484,699.9999926105841,2.8699998656868053,A 20 years old Electrical Engineering student.,0.0
174.0,54.99999998509884,120.00000029802322,408.052803576472,0.0,I am hungry.,0.0
170.00000023841858,64.08296230435371,87.00000047683716,300.00000515434164,2.0000000191211886,,0.0
164.99999976158142,45.99999988824129,110.99999994039536,200.00000343622773,4.999999950945426,I am a student.,0.0
177.99999976158142,80.00000137090684,187.0000034570694,286.99999619369095,5.10079417408537,nice,0.0
189.99999904632568,88.99999988079072,120.00000029802322,185.00000803256393,0.0,,0.0
175.00000071525574,65.99999898672104,125.55021047592163,600.0000103086833,5.10079417408537,Handsome,0.0
184.99999856948853,60.000000685453415,180.0000011920929,0.0,5.10079417408537,Adorable,0.0
169.7545120716095,64.08296230435371,130.00000417232513,1296.0000688656671,5.10079417408537,"I am sporty, who loves to play basketball",0.0
166.00000047683716,69.99999997019768,100.00000149011612,0.0,1.499999965912119,I'm in a group of idiots.,0.0
188.00000071525574,64.08296230435371,125.55021047592163,88.00000539518282,5.10079417408537,A young girl,0.0
169.7545120716095,60.000000685453415,200.0,461.00000112483036,5.10079417408537,Handsome,0.0
159.0000001192093,45.99999988824129,87.00000047683716,408.052803576472,5.10079417408537,Versatile,0.0
174.0,62.00000011920929,127.99999713897705,408.052803576472,7.0999997676218305,Enterprising,0.0
170.99999940395355,63.999999552965164,130.00000417232513,360.00000618520994,4.999999950945426,Excellent,0.0
175.00000071525574,80.00000137090684,140.0000035762787,300.00000515434164,1.0000000095605943,handsome boy,0.0
164.99999976158142,64.08296230435371,120.00000029802322,849.0000116743548,5.10079417408537,Love to eat,0.0
169.7545120716095,64.08296230435371,120.00000029802322,408.052803576472,2.0000000191211886,not bad,0.0
169.7545120716095,54.99999998509884,125.0,408.052803576472,2.999999931824238,real,0.0
172.99999928474426,69.99999997019768,120.00000029802322,200.00000343622773,2.0000000191211886,not bad,0.0
180.9999988079071,64.08296230435371,87.00000047683716,400.00000687245546,1.0000000095605943,Hahahahaha,0.0
172.99999928474426,69.99999997019768,125.99999904632568,249.99999458717815,0.0999999973239015,I am a good man.,0.0
