star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt,self_intro,gender
6.0,1.0,154.00000020861626,42.99999999999999,3.0,132.25000202655792,583.0000109672546,0.0,Beautiful,2
6.0,1.0,156.0000002682209,47.000000022351735,3.0,130.00000417232513,575.6829378008842,3.4999999403953552,Enjoying being who I'm notsss,2
9.0,2.0,170.0,61.00000083446503,3.0,90.00000208616257,540.0000187754631,3.8815365538001063,Practice Makes perfect,1
9.0,1.0,170.0,62.00000077486038,4.0,100.00000149011612,425.9712987095117,5.000000144541263,Straightforward,1
9.0,2.0,158.00000032782555,67.00000065565109,3.0,127.99999713897705,319.99998909235,1.1999999731779099,Humorous,2
6.0,2.0,161.03214240074158,53.360000133514404,3.0,100.00000149011612,902.9999988675117,2.0000000298023224,I am cute,2
7.0,2.0,173.4121823310852,50.000000447034836,4.0,115.00000059604645,208.9999938458204,9.59000009894371,,1
3.0,2.0,169.99999970197678,57.00000020861626,4.0,100.00000149011612,1200.0000004768372,2.313889265060425,Um..Haha,2
9.0,2.0,167.99999964237213,53.360000133514404,2.0,132.25000202655792,580.000012755394,5.339999794960022,I am quite.,2
1.0,1.0,165.0000005364418,55.000000327825546,5.0,130.00000417232513,575.6829378008842,2.0000000298023224,Beautiful,2
7.0,2.0,163.99999952316284,53.360000133514404,3.0,180.0000011920929,300.00000101327896,1.0000000149011612,Beautiful and smart,2
6.0,2.0,167.99999964237213,55.000000327825546,2.0,132.25000202655792,300.00000101327896,2.313889265060425,Beautiful and smart,2
12.0,1.0,161.03214240074158,60.00000002980232,3.0,200.0,159.99999514222145,2.313889265060425,Brilliant,2
11.0,2.0,173.4121823310852,53.0000002682209,4.0,122.29230552911758,299.99999029934406,2.5000000722706317,Work hard play hard,1
3.0,1.0,163.00000047683716,52.00000050663948,5.0,97.9999989271164,575.6829378008842,2.0000000298023224,Q,2
6.0,1.0,154.00000020861626,42.99999999999999,3.0,132.25000202655792,583.0000109672546,0.0,Beautiful,2
6.0,1.0,156.0000002682209,47.000000022351735,3.0,130.00000417232513,400.0000009536743,3.4999999403953552,Enjoying being who I'm not,2
9.0,2.0,170.0,61.00000083446503,3.0,90.00000208616257,540.0000187754631,5.000000144541263,,1
9.0,1.0,170.0,62.00000077486038,4.0,100.00000149011612,173.00000122189522,5.000000144541263,Straightforward,1
6.0,2.0,158.00000032782555,67.00000065565109,3.0,127.99999713897705,319.99998909235,1.1999999731779099,,2
10.0,2.0,161.03214240074158,50.00000010430813,3.0,132.25000202655792,902.9999988675117,2.0000000298023224,I am cute,2
7.0,2.0,165.0,50.000000447034836,4.0,115.00000059604645,208.9999938458204,9.59000009894371,Homo sapiens,1
3.0,2.0,169.99999970197678,57.00000020861626,3.0,132.25000202655792,575.6829378008842,2.313889265060425,,2
9.0,2.0,167.99999964237213,53.360000133514404,2.0,132.25000202655792,580.000012755394,2.313889265060425,I am quite.,2
1.0,1.0,165.0000005364418,53.360000133514404,5.0,130.00000417232513,541.9999758601189,2.313889265060425,Beautiful,2
6.0,2.0,163.99999952316284,52.00000050663948,3.0,180.0000011920929,300.00000101327896,1.0000000149011612,Beautiful and smart,2
6.0,2.0,167.99999964237213,55.000000327825546,2.0,180.0000011920929,300.00000101327896,2.313889265060425,,2
12.0,2.0,161.03214240074158,60.00000002980232,3.0,200.0,159.99999514222145,2.313889265060425,Brilliant,2
11.0,2.0,167.99999952316284,53.0000002682209,3.0,100.00000149011612,299.99999029934406,2.5000000722706317,Work hard play hard,1
3.0,1.0,163.00000047683716,52.00000050663948,5.0,132.25000202655792,1200.0000004768372,2.313889265060425,Q,2
2.0,2.0,175.0,75.0,5.0,50.0,200.00000216066834,0.9999999672174454,I am so handsome,1
9.0,2.0,168.99999976158142,75.0,1.0,122.29230552911758,0.0,3.8815365538001063,I just wanna run.,1
9.0,2.0,168.99999976158142,75.0,3.0,90.00000208616257,0.0,3.8815365538001063,I just wanna run.,1
10.0,2.0,173.4121823310852,60.00000089406967,3.0,122.29230552911758,404.00001212954515,0.3699999863281846,Surprising,1
10.0,1.0,173.4121823310852,55.00000014901161,3.0,199.00000095367432,610.9999761879444,0.0,,1
10.0,1.0,162.00000047683716,43.00000008195639,5.0,180.0000011920929,425.9712987095117,3.8815365538001063,handsome,1
10.0,1.0,173.4121823310852,67.58064419031143,5.0,100.00000149011612,50.000000540167086,3.8815365538001063,Fake,1
7.0,2.0,175.0,67.58064419031143,5.0,122.29230552911758,425.9712987095117,3.8815365538001063,I am fine thank u,1
6.0,2.0,161.03214240074158,48.00000022351741,2.0,132.25000202655792,575.6829378008842,4.000000059604645,tired,2
11.0,1.0,163.00000047683716,48.00000022351741,2.0,132.25000202655792,250.00000104308128,4.000000059604645,tired,2
11.0,2.0,165.0,67.58064419031143,2.0,105.0000011920929,800.0000086426734,2.999999901652336,,1
7.0,2.0,168.99999976158142,73.00000011920929,5.0,105.0000011920929,67.00000137090683,1.7000000059604645,Lazy,1
4.0,1.0,175.0,80.00000178813934,4.0,120.00000029802322,499.9999924600124,0.1870000091381371,,1
7.0,1.0,175.0,50.000000447034836,5.0,100.00000149011612,469.00000959634775,10.000000289082527,I am fakes' fans,1
7.0,1.0,172.99999952316284,74.00000005960464,1.0,180.0000011920929,599.9999805986881,5.000000144541263,Hi,1
7.0,2.0,167.00000047683716,48.000000044703484,3.0,51.00000002421439,638.0000030100346,0.9999999672174454,Go big or go home,1
